,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
23839,Simpsonville,Simpsonville,34.7287,-82.2569,United States,US,USA,South Carolina,,23190.0,1840015477
23843,Montgomery,Montgomery,41.5399,-74.2073,United States,US,USA,New York,,23184.0,1840004875
23849,Christiansburg,Christiansburg,37.1406,-80.4036,United States,US,USA,Virginia,,23174.0,1840006447
23852,Allison Park,Allison Park,40.573,-79.9603,United States,US,USA,Pennsylvania,,23160.0,1840026468
23854,Trotwood,Trotwood,39.7926,-84.3165,United States,US,USA,Ohio,,23157.0,1840010582
23855,Bedford,Bedford,42.9406,-71.5302,United States,US,USA,New Hampshire,,23157.0,1840054623
23859,Wareham,Wareham,41.7662,-70.6999,United States,US,USA,Massachusetts,,23149.0,1840053578
23860,Roxbury,Roxbury,40.8822,-74.6523,United States,US,USA,New Jersey,,23149.0,1840081733
23862,Crystal,Crystal,45.0377,-93.3599,United States,US,USA,Minnesota,,23143.0,1840006745
23867,Mountain House,Mountain House,37.7673,-121.5449,United States,US,USA,California,,23132.0,1840026768
23870,Laguna Beach,Laguna Beach,33.5455,-117.7613,United States,US,USA,California,,23121.0,1840020587
23876,Ballenger Creek,Ballenger Creek,39.3807,-77.4206,United States,US,USA,Maryland,,23114.0,1840031490
23890,Niskayuna,Niskayuna,42.803,-73.8729,United States,US,USA,New York,,23094.0,1840058350
23894,Eastmont,Eastmont,47.8968,-122.1818,United States,US,USA,Washington,,23088.0,1840139116
23896,Garden City,Garden City,40.7266,-73.6447,United States,US,USA,New York,,23087.0,1840005289
23901,Stoneham,Stoneham,42.4741,-71.0972,United States,US,USA,Massachusetts,,23077.0,1840053487
23908,Searcy,Searcy,35.2418,-91.7351,United States,US,USA,Arkansas,,23074.0,1840015429
23915,Lexington,Lexington,33.989,-81.2202,United States,US,USA,South Carolina,,23068.0,1840016724
23920,Gardner,Gardner,38.8122,-94.9275,United States,US,USA,Kansas,,23065.0,1840001636
23926,Union Hill-Novelty Hill,Union Hill-Novelty Hill,47.6788,-122.0284,United States,US,USA,Washington,,23060.0,1840074663
23927,Lysander,Lysander,43.1799,-76.3745,United States,US,USA,New York,,23060.0,1840058273
23932,Morris,Morris,40.7959,-74.4945,United States,US,USA,New Jersey,,23049.0,1840081723
23942,Junction City,Junction City,39.0277,-96.8508,United States,US,USA,Kansas,,23033.0,1840001620
23948,Watertown,Watertown,43.1893,-88.7285,United States,US,USA,Wisconsin,,23030.0,1840003000
23953,Greenfield,Greenfield,39.7937,-85.7738,United States,US,USA,Indiana,,23024.0,1840014673
23954,Hopewell,Hopewell,37.2915,-77.2985,United States,US,USA,Virginia,,23020.0,1840003859
23961,Oakdale,Oakdale,37.7618,-120.8468,United States,US,USA,California,,23016.0,1840020289
23972,Shelbyville,Shelbyville,35.4987,-86.4517,United States,US,USA,Tennessee,,23005.0,1840015412
23974,Hudson,Hudson,41.2399,-81.4408,United States,US,USA,Ohio,,23001.0,1840007138
23975,Middletown,Middletown,39.445,-75.7183,United States,US,USA,Delaware,,23001.0,1840005581
23976,Roselle,Roselle,41.9809,-88.0861,United States,US,USA,Illinois,,23000.0,1840011407
23987,Brushy Creek,Brushy Creek,30.5128,-97.7386,United States,US,USA,Texas,,22972.0,1840135494
23990,Keene,Keene,42.9494,-72.2998,United States,US,USA,New Hampshire,,22969.0,1840003050
24005,Edgewater,Edgewater,28.9594,-80.9406,United States,US,USA,Florida,,22952.0,1840014043
24013,West Goshen,West Goshen,39.9756,-75.5927,United States,US,USA,Pennsylvania,,22940.0,1840133853
24026,Nixa,Nixa,37.0453,-93.2959,United States,US,USA,Missouri,,22925.0,1840008789
24041,Camp Springs,Camp Springs,38.8052,-76.9199,United States,US,USA,Maryland,,22903.0,1840005947
24057,Candler-McAfee,Candler-McAfee,33.7267,-84.2723,United States,US,USA,Georgia,,22880.0,1840073846
24060,Winchester,Winchester,42.4518,-71.1463,United States,US,USA,Massachusetts,,22875.0,1840053496
24061,Machesney Park,Machesney Park,42.3666,-89.0266,United States,US,USA,Illinois,,22870.0,1840011123
24065,Belton,Belton,31.0525,-97.479,United States,US,USA,Texas,,22866.0,1840019556
24066,Marshall,Marshall,32.537,-94.3515,United States,US,USA,Texas,,22862.0,1840020739
24077,Kihei,Kihei,20.7653,-156.4454,United States,US,USA,Hawaii,,22840.0,1840029507
24078,Radcliff,Radcliff,37.8204,-85.9365,United States,US,USA,Kentucky,,22839.0,1840014329
24096,Onondaga,Onondaga,42.9686,-76.2169,United States,US,USA,New York,,22822.0,1840087751
24103,Prairie Village,Prairie Village,38.9874,-94.6362,United States,US,USA,Kansas,,22812.0,1840001644
24117,Leland,Leland,34.2042,-78.0279,United States,US,USA,North Carolina,,22794.0,1840016683
24121,Oxford,Oxford,39.5061,-84.7446,United States,US,USA,Ohio,,22783.0,1840009572
24125,Cottage Lake,Cottage Lake,47.7466,-122.0755,United States,US,USA,Washington,,22779.0,1840037848
24132,Forney,Forney,32.744,-96.4529,United States,US,USA,Texas,,22770.0,1840020734
24142,Villa Park,Villa Park,41.8865,-87.9779,United States,US,USA,Illinois,,22755.0,1840011412
24147,Anthem,Anthem,33.856,-112.1168,United States,US,USA,Arizona,,22750.0,1840022919
24167,Peters,Peters,40.2739,-80.0803,United States,US,USA,Pennsylvania,,22728.0,1840147982
24171,Raymore,Raymore,38.8029,-94.4583,United States,US,USA,Missouri,,22722.0,1840009787
24179,East Peoria,East Peoria,40.6736,-89.5419,United States,US,USA,Illinois,,22707.0,1840008327
24192,Pickerington,Pickerington,39.889,-82.7678,United States,US,USA,Ohio,,22682.0,1840009528
24202,Duncan,Duncan,34.5408,-97.9215,United States,US,USA,Oklahoma,,22664.0,1840019253
24213,Easley,Easley,34.8188,-82.5827,United States,US,USA,South Carolina,,22643.0,1840013526
24227,Cartersville,Cartersville,34.1644,-84.8009,United States,US,USA,Georgia,,22626.0,1840014701
24230,Sun Valley,Sun Valley,39.6104,-119.777,United States,US,USA,Nevada,,22622.0,1840018711
24236,Corcoran,Corcoran,36.0841,-119.5613,United States,US,USA,California,,22616.0,1840019056
24243,Bellview,Bellview,30.462,-87.312,United States,US,USA,Florida,,22613.0,1840013912
24258,Summit,Summit,40.7154,-74.3647,United States,US,USA,New Jersey,,22598.0,1840000999
24269,Watertown,Watertown,44.9094,-97.1532,United States,US,USA,South Dakota,,22577.0,1840002156
24292,Eustis,Eustis,28.8563,-81.6771,United States,US,USA,Florida,,22532.0,1840014054
24303,Chester,Chester,37.3531,-77.4342,United States,US,USA,Virginia,,22512.0,1840006410
24315,Upper Allen,Upper Allen,40.18,-76.9808,United States,US,USA,Pennsylvania,,22491.0,1840151634
24342,Bloomingdale,Bloomingdale,41.9497,-88.0895,United States,US,USA,Illinois,,22436.0,1840011399
24356,Lincoln,Lincoln,41.9171,-71.4505,United States,US,USA,Rhode Island,,22415.0,1840106233
24366,Vernon,Vernon,41.1973,-74.4857,United States,US,USA,New Jersey,,22399.0,1840081777
24386,Greenwood,Greenwood,34.1947,-82.1542,United States,US,USA,South Carolina,,22363.0,1840013626
24410,Fernley,Fernley,39.5627,-119.1906,United States,US,USA,Nevada,,22343.0,1840020214
24412,Montville,Montville,40.9135,-74.3594,United States,US,USA,New Jersey,,22340.0,1840081737
24421,Biddeford,Biddeford,43.4673,-70.4511,United States,US,USA,Maine,,22331.0,1840000342
24425,Acworth,Acworth,34.0566,-84.6716,United States,US,USA,Georgia,,22330.0,1840013688
24440,Lyndhurst,Lyndhurst,40.7965,-74.1099,United States,US,USA,New Jersey,,22315.0,1840081755
24445,Bristol,Bristol,41.6827,-71.2694,United States,US,USA,Rhode Island,,22305.0,1840106238
24450,West Deptford,West Deptford,39.8431,-75.1852,United States,US,USA,New Jersey,,22292.0,1840081678
24458,Ruston,Ruston,32.5328,-92.6363,United States,US,USA,Louisiana,,22286.0,1840014878
24469,Hillsborough,Hillsborough,40.5069,-74.6523,United States,US,USA,New Jersey,,22273.0,1840153047
24473,Albertville,Albertville,34.2633,-86.2108,United States,US,USA,Alabama,,22268.0,1840013599
24485,Martha Lake,Martha Lake,47.8479,-122.2327,United States,US,USA,Washington,,22251.0,1840037875
24489,Golden Valley,Golden Valley,44.9901,-93.3591,United States,US,USA,Minnesota,,22247.0,1840007824
24490,Marina,Marina,36.681,-121.7892,United States,US,USA,California,,22246.0,1840020357
24501,Bonney Lake,Bonney Lake,47.1791,-122.17,United States,US,USA,Washington,,22229.0,1840018454
24502,Coralville,Coralville,41.699,-91.5967,United States,US,USA,Iowa,,22226.0,1840007076
24505,Corinth,Corinth,33.1434,-97.0682,United States,US,USA,Texas,,22216.0,1840019389
24508,Oxford,Oxford,33.5967,-85.8687,United States,US,USA,Alabama,,22210.0,1840014780
24515,Mountain Brook,Mountain Brook,33.4871,-86.74,United States,US,USA,Alabama,,22184.0,1840014792
24528,Clarksville,Clarksville,38.322,-85.7673,United States,US,USA,Indiana,,22169.0,1840009665
24542,Florida Ridge,Florida Ridge,27.5805,-80.3848,United States,US,USA,Florida,,22151.0,1840029035
24544,Waynesboro,Waynesboro,38.0674,-78.9014,United States,US,USA,Virginia,,22149.0,1840003848
24547,Chambersburg,Chambersburg,39.9315,-77.6556,United States,US,USA,Pennsylvania,,22141.0,1840001410
